epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
67,52.5597,1.34201,5.65344,0.0156,0,0,0,0,2.61093,6.15916,0.02518,2.7222e-05,2.7222e-05,2.7222e-05
68,53.1613,1.6838,5.41138,0.02336,0,0,0,0,2.61093,6.15916,0.02518,2.68451e-05,2.68451e-05,2.68451e-05
69,53.7989,1.42165,5.46099,0.02022,0,0,0,0,2.59297,6.15561,0.02518,2.64447e-05,2.64447e-05,2.64447e-05
70,54.3434,1.69469,5.47637,0.0269,0,0,0,0,2.59297,6.15561,0.02518,2.60207e-05,2.60207e-05,2.60207e-05
71,54.9317,1.69775,5.571,0.02325,0,0,0,0,2.59297,6.15561,0.02518,2.55731e-05,2.55731e-05,2.55731e-05
72,55.5955,1.42928,5.64581,0.01688,0,0,0,0,2.61254,6.16571,0.02576,2.5102e-05,2.5102e-05,2.5102e-05
73,56.1796,1.45165,5.42913,0.02049,0,0,0,0,2.61254,6.16571,0.02576,2.46073e-05,2.46073e-05,2.46073e-05
74,56.741,1.76503,5.48303,0.02383,0,0,0,0,2.61254,6.16571,0.02576,2.40891e-05,2.40891e-05,2.40891e-05
75,57.3996,1.34207,5.31713,0.02436,0,0,0,0,2.66967,6.17298,0.02574,2.35472e-05,2.35472e-05,2.35472e-05
76,57.9772,1.63288,5.47358,0.02217,0,0,0,0,2.66967,6.17298,0.02574,2.29819e-05,2.29819e-05,2.29819e-05
77,58.5574,1.46729,5.40443,0.02027,0,0,0,0,2.66967,6.17298,0.02574,2.23929e-05,2.23929e-05,2.23929e-05
78,59.2152,1.59706,5.50593,0.02124,0,0,0,0,2.66898,6.16872,0.02569,2.17805e-05,2.17805e-05,2.17805e-05
79,59.7799,1.30833,5.49113,0.01644,0,0,0,0,2.66898,6.16872,0.02569,2.11444e-05,2.11444e-05,2.11444e-05
80,60.3535,1.54264,5.69247,0.0208,0,0,0,0,2.66898,6.16872,0.02569,2.04848e-05,2.04848e-05,2.04848e-05
81,61.0216,1.55269,5.27099,0.0288,0,0,0,0,2.70947,6.1777,0.02638,1.98016e-05,1.98016e-05,1.98016e-05
82,61.6004,1.27316,5.41909,0.02027,0,0,0,0,2.70947,6.1777,0.02638,1.90949e-05,1.90949e-05,1.90949e-05
